urduWord,romanUrdu,devanagri,englishWord,hindiWord,wordClass,origin,englishMeaning,useInTense
دارالحکومت,Dār-ul-ḥukūmat,दार-उल-हुकूमत,Capital,राजधानी,Noun,Arabic,Seat of government or capital. It refers to the administrative center or capital city where the government operates.,Inida ki dār-ul-ḥukūmat Delhi hai
علاحدہ,Alahda,अलाहिदा,Unique,अद्वितीय,Adjective,Arabic,Separate or distinct. It describes something that is distinct or different from others.,Har shaks ka apna alaahada tareeqa hota hai mushkilein hal karne ka.
الفاظ,Alfaaz,अल्फ़ाज़,Words,शब्द,Noun,Arabic,Words or vocabulary. It refers to a collection of words or terms used in language.,Uske alfaaz mein aisa jadoo tha ke sab mohtaram ho gaye.
الوداع,Alvida,अलविदा,Goodbye,विदाई,Noun,Persian,Farewell or goodbye. It is used to bid farewell or parting wishes to someone.,Usne aakhri baar alvida keh kar hamesha ke liye ruksat le li.
عمیق,Ameeq,अमीक़,Deep,गहरा,Adjective,Arabic,"Deep or profound. It denotes something that is profound, deep, or intense in nature.","Uski soch ameeq aur gehri hai, jo sab ko prabhavit karti hai."
انا,Anaa,अना,Ego,अहंकार,Noun,Arabic,Ego or pride. It refers to a sense of self-importance or pride.,Uski anaa ne use kabhi kisi ke samne jhukne nahi diya.
عقیدت,Aqeedat,अक़ीदत,Respect,श्रद्धा,Noun,Arabic,"Respect or reverence. It signifies admiration, respect, or reverence towards someone or something.",Uski apni maa ke liye gehri aqeedat thi.
آرزو,Aarzoo,आरज़ू,Wish,इच्छा,Noun,Persian,Desire or wish. It denotes a longing or aspiration for something desired.,Har kisi ke dil mein kuch arzoo aur umeedein hoti hain.
اثر,Asar,असर,Effect,प्रभाव,Noun,Arabic,Effect or impact. It refers to the influence or consequence of something.,Uski baaton ka mujh par gehra asar hua.
ادنیٰ,Adna,अद्ना,inferior,निम्न,Adjective,Arabic,Lower or inferior. (Repeated term),"Har kaam, chaahe kitna hi adna kyun na ho, izzat ka mustahiq hota hai."
اندازہ,Andaaza,अंदाज़ा,Estimate,अनुमान,Noun,Arabic,Estimate or guess. It refers to an approximate calculation or estimation.,Tumhare behtareen andaaza lagane ki salahiyat ne sab ko mutasir kiya.
اندھیرا,Andhera,अंधेरा,Darkness,अंधकार,Noun,Persian,"Darkness. It signifies the absence of light, typically referring to a state of darkness or lack of illumination.","Andhera chha gaya tha, aur rasta dikhayi nahi de raha tha."
انجم,Anjum,अंजुम,Star,नक्षत्र,Noun,Persian,Stars. It refers to celestial bodies that appear as points of light in the night sky.,Raat ko asmaan mein chamakne wale anjum bohot khoobsurat lagte hain.
انوکھا,Anokha,अनोखा ,Unique,अद्वितीय,Adjective,Persian,Unique or unusual. It describes something that is distinct or different from others in a special way.,Usne ek anokha idea diya jo sab ke dimaag mein baith gaya.
عقیدت,Aqeedat,अक़ीदत,Respect,सम्मान,Noun,Arabic,"Respect or reverence. It signifies admiration, respect, or reverence towards someone or something.",Uski apni maa ke liye gehri aqeedat thi.
عقیل,Aqeel,अक़ील,Wise,बुद्धिमान,Adjective,Arabic,"Wise or intelligent. It denotes someone who is knowledgeable, discerning, and possesses good judgment.","Woh aqeel aur samajhdar insaan hai, jo har mushkil ka hal nikal leta hai."
عاقب,Aqib,आक़िब,Following,अनुसरण,Noun,Arabic,Follower or successor. It refers to someone who comes after another in a sequence or position.,"Har amal ka apna aqib hota hai, jo hamesha hamare samne aata hai."
عقل,Aql,अक़्ल,Intellect,बुद्धि,Noun,Arabic,"Intellect or reason. It denotes the faculty of reasoning, intellect, or understanding.",Insaan ko apni aql ka istemal karke har faisla lena chahiye.
عرش,Arsh,अर्श,Throne,सिंहासन,Noun,Arabic,"Throne or dominion. It refers to a seat of authority or sovereignty, often symbolizing power and majesty.",Arsh ka maqam woh hai jahan se sab kuch nazar aata hai.
ارواح,Arwah,अरवाह,Spirits,आत्मा ,Noun,Arabic,Spirits or souls. It denotes the immaterial essence or life force that animates living beings.,Kehte hain ke arwah hamesha hamare ird gird hoti hain.
آشق,Ashq,अश्क़,Tears,आंसू,Noun,Persian,Tears. It refers to drops of saline fluid secreted by the lacrimal glands and shed as an expression of emotion.,Uski aankhon se girte hue ashq uski udaasi ka saboot the.
اصلیت,Asliyat,असलियत,Reality,वास्तविकता,Noun,Arabic,"Reality or truth. It signifies the state of being true, genuine, or authentic.",Har cheez ki asliyat samajhna mushkil hota hai.
اسرار,Asraar,असरार,Secrets,रहस्य,Noun,Arabic,"Secrets or mysteries. It refers to things that are hidden or not easily understood, often implying intrigue or fascination.",Uske chehre pe chhupi hui asraar ko koi samajh nahi saka.
آواز,Awaaz,आवाज़,Voice,आवाज़,Noun,Persian,Voice or sound. It denotes the audible sound produced by vocal cords or musical instruments.,Uski awaaz mein aisa jadoo tha ke sab log mohtaram ho gaye.
عیار,Ayyaar,अय्यार,Clever,चतुर,Noun,Persian,"Deceitful or cunning. It describes someone who is crafty, cunning, or adept at deception.","Woh ek ayyaar shakhs hai, jo hamesha sab ko chakma de deta hai."
آزادی,Azaadi,आज़ादी,Freedom,स्वतंत्रता,Noun,Persian,Freedom or independence. It signifies liberation from oppression or restraint.,"Azaadi ka matlab sirf jang nahi, balke khudmukhtari bhi hai."
ازل,Azal,अज़ल,Eternity,शाश्वतता,Noun,Arabic,Beginning or origin. It denotes the state of existence before time or the beginning of creation.,Azal se hi insaan ko khud se ladna padta hai.
عظمت,Azmat,अज़मत,Greatness,महानता,Noun,Arabic,"Greatness or magnificence. It refers to the quality of being grand, noble, or impressive.",Uski azmat ko sab log maanate hain.
 بے دستور,Be-dastoor ,बे-दस्तूर ,Illegally,अवैध रूप से,Adjective,Persian,Unlawful or against the rules. It describes something that is done or exists without following established norms or regulations.,Be-dastoor usne apne faisle pe amal karna shuru kar diya.
 بہرحال,Bahar-haal,बहरहाल,Nevertheless,तथापि,Adverb,Persian,Anyway or nevertheless. It denotes a situation or circumstance that persists regardless of other factors.,"Be-har-haal, tumhe apna kaam mukammal karna hoga."
 بادِ صبا,Baad-e-saba ,बाद-ए-सबा ,Morning breeze,सुबह की हवा, Noun,Persian,Morning breeze. It refers to the gentle wind that blows in the early morning.,Baad-e-saba ki thandak ne subah ko aur bhi khushnuma bana diya.
بادل,Baadal,बादल,Clouds,मेघ,Noun,Persian,"Clouds. It signifies collections of water vapor visible in the sky, often bringing rain or shade.",Baadal gharaj rahe the aur barsaat hone wali thi.
بادبان,Baadbaan,बादबान,Wind,पवन,Noun,Persian,Gardener or caretaker. It refers to someone who tends to gardens or plants.,Naav ke baadbaan ko sambhal kar rakhna zaroori hai.
بام,Baam,बाम,Tree,वृक्ष,Noun,Persian,"Tree or bamboo. It denotes a tall, woody plant with a single main stem or trunk.",Sheher ke baam se saari duniya dikhti hai.
بارش,Baarish,बारिश,Rain,वर्षा,Noun,Arabic,Rain or rainfall. It refers to precipitation in the form of water droplets falling from the sky.,Baarish ki bunden zameen par girti aur mitti se khushbu aati.
باطن,Baatin,बातिन,Hidden,गुप्त,Noun,Arabic,"Inner or hidden. It signifies something that is internal, concealed, or not immediately apparent.",Har shaks ke baatin ko samajhna mushkil hota hai.
 بد عہد,Bad-ahd ,बद-अहद ,Disloyal,विश्वासघाती,Noun,Arabic,Violating a promise or covenant. It refers to breaking an agreement or pledge.,"Usne apna wada toda, woh bad-ahd sabit hua."
بدن,Badan,बदन,Body,शरीर,Noun,Persian,Body. It refers to the physical structure of a human or animal.,Uska badan itna kamzor ho gaya tha ke chal bhi nahi sakta tha.
بہار,Bahaar,बहार,Spring,वसंत,Noun,Persian,Spring or bloom. It signifies the season of spring or the blossoming of flowers.,Bahaar ka mausam sabko khush aur taza-dam kar deta hai.
بہشت,Bahisht,बहिश्त,Paradise,स्वर्ग,Noun,Persian,Paradise or heaven. It refers to the afterlife or a place of ultimate bliss and happiness.,Har insaan apni zindagi mein bahisht ka talib hota hai.
 بیت الخلا,Bait-ul-Khala ,बैत-उल-खला ,Toilet,शौचालय,Noun,Arabic,Restroom or toilet. It denotes a place designated for urination and defecation.,Ghar ke har konay mein safai aur bait-ul-khala ko bhi saaf rakhna zaroori hai.
بخیل,Bakheel,बखील,Miser,कंजूस,Noun,Arabic,Miser or stingy person. It describes someone who is reluctant to spend money or resources.,Woh itna bakheel hai ke kabhi kisi ki madad nahi karta.
بلا,Balaa,बला,Calamity,आपदा,Noun,Persian,"Affliction or calamity. It denotes a state of hardship, trouble, or adversity.",Har mushkil ko balaa ki tarah samajh kar hi uska samna karna chahiye.
بندگی,Bandegi,बंदगी,Slavery,दासता,Noun,Persian,Servitude or slavery. It refers to the condition of being a servant or slave.,Allah ki bandegi mein hi asli sukoon milta hai.
بقا,Baqaa,बक़ा,Permanence,स्थिरता,Noun,Arabic,Eternal or everlasting. It signifies something that endures forever or has perpetual existence.,"Duniya ki har cheez faani hai, sirf Allah ki baqaa hai."
برف,Barf, बर्फ,Ice,बर्फ़,Noun,Persian,Ice or frost. It refers to frozen water in the form of solid crystals.,Barf girne se poora sheher safed ho gaya tha.
برہم,barham,बरहम,Anger,क्रोध,Adjective,Persian,Angry or wrathful. It describes someone who is in a state of anger or fury.,Uski baaton ne sabko barham kar diya.
برق,Barq ,बरक़,Lightning,बिजली,Noun,Arabic,Lightning. It signifies a sudden and powerful electrical discharge in the atmosphere.,Barq chamak rahi thi aur aasman garaj raha tha.
 برقِ تجلی,Barq-e-tajalli ,बरक़-ए-तजल्ली ,Divine lightning,दिव्य बिजली,Noun,Arabic,Divine illumination or manifestation. It refers to the radiant light or revelation associated with divine presence.,Uski aankhon mein barq-e-tajalli thi jo sabko moh le rahi thi.
بصیرت,Baseerat,बसीरत,Insight,अंतर्दृष्टि,Noun,Arabic,"Insight or perception. It denotes the ability to see and understand things clearly, often implying spiritual or intellectual insight.",Baseerat wala insaan hamesha har mushkil ka hal nikal leta hai.
بیابان,Bayaabaan,बयाबान,Wilderness,जंगल,Noun,Persian,"Wilderness or desert. It refers to a vast, uninhabited area of land, typically arid and devoid of vegetation.",Usne apna waqt ek tanha bayaabaan mein guzar diya.
بیان,Bayaan,बयान,Explanation,व्याख्या,Noun,Arabic,Expression or statement. It signifies the act of explaining or conveying something through words.,Uska bayaan sabke dil ko chu gaya.
بیحس,Beyhiss,बेहिस्स,Insensitive,असंवेदनशील,Adjective,Persian,Insensible or unconscious. It describes someone who is devoid of sensation or awareness.,Bayhiss insaan ko dusron ke dard ka ehsaas nahi hota.
بزم,Bazm,बज़्म,Gathering,सभा,Noun,Persian,"Gathering or assembly. It refers to a social gathering or assembly of people, often for cultural or literary purposes.",Usne apni bazm-e-yaaraan ko phir se jeewant kar diya.
 بزمِ یاراں,Bazm-e-yaaraan,बज़्म-ए-याराँ, Gathering of friends ,दोस्तों की सभा, Noun,Persian,Gathering of friends or companions. It denotes a gathering or assembly of close friends or companions.,Bazm-e-yaaraan mein sab mil kar apne dukh-sukh baantte hain.
 بے خودی,be-khudi,बेखुदी ,Selflessness,निःस्वार्थता, Noun,Persian,Selflessness or lack of ego. It refers to a state of being free from self-centeredness or egoism.,Uski be-khudi uske dil ke haal ko bayaan karti hai.
 بے شمار,be-shumaar,बे-शुमार,Countless,अनगिनत,Adjective,Persian,Countless or infinite. It signifies something that is without number or limitless.,Be-shumaar sitare aasman par chamak rahe the.
بیباک,Bebaak,बेबाक,Fearless,निर्भय,Adjective,Persian,Bold or fearless. It describes someone who is courageous and unafraid.,Uski bebaak soch ne sabko hairaan kar diya.
بے بس,Bebas,बेबस,Helpless,निर्बल,Adjective,Persian,Helpless or powerless. It refers to someone who lacks the ability or means to defend themselves or take action.,Bebasi mein bhi usne apni himmat nahi haari.
بےبسی,Bebasi,बेबसी,Helplessness,निर्बलता,Noun,Persian,Helplessness or vulnerability. It denotes a state of being powerless or unable to act independently.,Bebasi ke lamhon mein bhi usne apni umeed nahi chhodi.
بیدار,Bedaar ,बेदार,Awake,जागरूक, Adjective,Persian,Awake or vigilant. It describes someone who is alert and aware of their surroundings.,Bedaar reh kar apni zindagi ke faisle lena zaroori hai.
بہکانا,Behkaana,बेहकाना,To mislead,भटकाना,Verb,Urdu,To bewilder or confuse. It describes causing someone to become disoriented or uncertain.,Usne apni madhosh aankhon se mujhe aise behkaana shuru kiya ke main apne hosho-hawaas kho baitha.
بےوفا,Bewafa,बेवफा,Unfaithful,विश्वासघाती,Adjective,Persian,"Unfaithful or disloyal. It describes someone who betrays trust or breaks promises, especially in a relationship.",Bewafa doston se bachkar rehna chahiye kyun ke mushkil waqt mein woh hamesha saath chhod dete hain.
بجلی,Bijli,बिजली,"Electricity, Lightning",बिजली,Noun,Persian,Lightning or electricity. It refers to the natural phenomenon of electrical discharge in the atmosphere or electrical power.,Bijli ke chamakne aur garajne se poora aasman roshan ho gaya aur saara sheher ek pal ke liye thum gaya.
چاہت,Chaahat,चाहत,"Desire, Love","इच्छा, प्यार",Noun,Persian,Desire or longing. It denotes a strong feeling of wanting or wishing for something or someone.,Uski chaahat thi ke woh apne pyar ke saath duniya bhar ke khoobsurat maqamaat dekhe aur yaadgaar lamhe guzaare.
چاند,Chaand,चाँद,Moon,चंद्रमा,Noun,Persian,"Moon. It refers to the natural satellite of the Earth, often admired for its beauty and presence in the night sky.","Poornima ki raat ko chaand apni poori roshni ke saath aasman mein chamak raha tha, jaise kisi ne roshniyon se bhar diya ho."
چارہ گر,Chaaraagar,चारागर,Healer,चिकित्सक, Noun,Persian,"Healer or remedy. It refers to someone or something that provides relief or cure, especially in medical contexts.","Har mushkil waqt ka koi na koi chaaraagar zaroor hota hai, bas humein use pehchaan ne ki zaroorat hoti hai."
چمک,Chamak,चमक,"Shine, Sparkle","चमकना, चमक",Noun,Persian,"Shine or sparkle. It denotes the quality of reflecting light brightly, often implying brilliance or radiance.","Sunehri dhoop ki chamak se poora bagh jagmaga utha, aur phoolon par chamakne wale oos ke qatre sabki nigahon ko apni taraf kheench rahe the."
چمیلی,Chameli,चमेली,Jasmine (flower),चमेली,Noun,Persian,Jasmine. It refers to a fragrant flowering plant known for its white or yellow blossoms.,"Chameli ke phoolon ki khushboo se mehka hua bagh mujhe mere bachpan ki yaad dilata hai, jab hum ghanto wahaan khela karte the."
 چرخِ فلک,Charakh-e-falak,चरख-ए-फलक ,Celestial sphere,आकाशगंगा,Noun,Persian,Star or celestial body. It signifies a heavenly body visible in the night sky.,"Charakh-e-falak ke neeche sab kuch badal jata hai, lekin kuch yaadein hamesha dil mein basi rehti hain."
چشم,Chashm,चश्म,Eye,नेत्र,Noun,Persian,Eye or spring. It can refer to both the organ of sight and a natural source of water.,"Uski chashm se girte aansu dekh kar, lagta tha jaise uske dil ka saara dard uske aankhon ke raaste behr aaya ho."
چشمہ,Chashma ,चश्मा ,water source,झरना,Noun,Persian,Spectacles or glasses. It refers to eyeglasses worn to correct vision.,"Garamiyon mein thanda chashma dekh kar insaan ko jo sukoon milta hai, woh shayad aur kahin nahi milta."
چہرہ,Chehra,चेहरा,Face,मुख,Noun,Persian,"Face or countenance. It denotes the front part of the head where the eyes, nose, and mouth are located.",Uska roshan chehra dekh kar lagta tha jaise poora jahaan ek pal ke liye ruk gaya ho.
چوڑی,Choori,चूड़ी,Bangles,कड़ा,Noun,Persian,Sparrow. It refers to a small bird known for its active and chirpy nature.,Uske haathon mein pehni churia jab khanakti to lagta jaise saari duniya ki khushiyan usmein simat aayi hain.
چست,Chust,चुस्त,Active,"सक्रिय, ",Adjective,Persian,"Energetic or active. It describes someone or something that is lively, vigorous, or full of energy.",Woh apne har kaam mein itna chust aur phurtile tha ke usse dekh kar sabko himmat aur josh milta.
دعوت,Daawat,दावत,Invitation,निमंत्रण,Noun,Arabic,Invitation or feast. It refers to a formal request to attend an event or a large meal or banquet.,Usne apne ghar par daawat par bulaya aur humne wahaan bohot hi khoobsoorat lamhe guzaare.
دہر,Dahar ,दहर ,Era,युग,Noun,Arabic,Time or age. It denotes the passage of time or an era in history.,"Dahr ka aalam hamesha badalta rehta hai, lekin kuch yaadein aisi hoti hain jo kabhi purani nahi hoti."
دلیل,Daleel,दलील,Evidence,प्रमाण,Noun,Arabic,Evidence or proof. It refers to facts or information used to support an argument or claim.,Tumhari daleel ne mujhe itna sochne par majboor kar diya ke main apne faisle par dubara gaur karne laga.
درخت,Darakht,दरख्त,Tree,पेड़,Noun,Persian,Tree or plant. It refers to a woody perennial plant with a single main stem or trunk.,Us purane darakht ke neeche baith kar humne apne bachpan ki kahaniyan dohraayi aur purani yaadein taaza ki.
دریا,Dareeya,दरिया,River,नदी,Noun,Persian,River or stream. It signifies a natural flowing body of water larger than a brook or creek.,"Dareeya ke kinare baith kar, lagta tha jaise saari duniya ki fikrein door ho gayi hain aur sirf sukoon hi sukoon hai."
درجہ,Darjah,दरजा,Rank,पद,Noun,Arabic,Degree or level. It denotes a stage or rank in a scale of measurement or hierarchy.,Usne imtehaan mein pehla darjah hasil karke apne maa-baap ka sir fakhr se uncha kar diya.
درکار,Darkaar,दरकार,Required,आवश्यक,Noun,Persian,Need or necessity. It refers to something that is required or essential.,"Is mushkil kaam ke liye mujhe tumhari madad darkaar hai, kyunki tumhare bagair yeh mumkin nahi."
درمیان,Darmiyaan,दरमियान,Between,मध्यस्थ,Noun,Persian,Between or amidst. It denotes the space or interval between two things or situations.,"Humare darmiyaan jo bhi ranjish thi, use bhool kar aaj hum ek naye raaste par chal pade hain."
دروازہ,Darwaza,दरवाजा,Door,द्वार,Noun,Persian,Door or gateway. It refers to a movable structure used to open or close an entrance to a building or room.,"Darwaza khula chhodna achi adat nahi, kyunki yeh hamesha kisi musibat ko dawat de sakta hai."
دشت,Dasht,दश्त,Desert,रेगिस्तान,Noun,Persian,"Desert or wilderness. It refers to a large, dry, barren area of land.","Dasht ka safar bohot mushkil aur khaufnaak hota hai, lekin ismein jo maza hai, woh aur kahin nahi."
دستور,Dastoor,दस्तूर,Tradition,परंपरा,Noun,Persian,Tradition or custom. It signifies a long-established practice or behavior within a society or culture.,"Har kaam ko apne dastoor ke mutabiq karna chahiye, taake koi dikkat na aaye aur sab kuch sahi tareeke se ho."
دور,Daur,दौर,"Era, Time","युग, समय",Noun,Arabic,Period or era. It denotes a specific period of time or historical epoch.,"Yeh daur bhi ek din guzar jayega, lekin iske chhod gaye asar humesha yaad rahenge."
دیار,Dayaar,दयार,Homeland,मातृभूमि,Noun,Persian,Region or territory. It refers to a specific geographical area or domain.,"Uske ghar ke dayaar mein hamesha ek khushbu rehti hai, jo dil ko sukoon aur khushi deti hai."
دیدار,Deedar,दीदार,"Sight, Meeting","दृष्टि, मुलाक़ात",Noun,Persian,"Sight or vision. It denotes the act of seeing or meeting someone, often eagerly awaited or cherished.",Tumhara deedar mujhe itni khushi deta hai ke mere saare dukh aur gham pal bhar mein door ho jate hain.
دیوار,Deewar,दीवार,Wall,प्राचीर,Noun,Persian,Wall or barrier. It refers to a vertical structure used to divide or enclose an area.,"Us deewar pe purane waaqeeyat likhe hue hain, jo humein hamari purani yaadein yaad dilate hain."
دہلیز,Dehleez,दहलीज़,Threshold,अंतःप्रवेश,Noun,Persian,Threshold or doorstep. It denotes the entrance or boundary of a house or building.,Ghar ki dehleez par pair rakhte hi usne dua ki ke is ghar mein hamesha sukoon aur khushiyaan rahein.
دلچسپی,Dilchaspi,दिलचस्पी,Interest,रुचि,Noun,Persian,Interest or curiosity. It signifies a keenness or attraction towards something.,"Mujhe tumhare iss project mein bohot dilchaspi hai, aur main chahta hoon ke tum ismein kamiyab ho jao."
دلکش,Dilkash,दिलकश,Attractive,आकर्षक,Adjective,Persian,Alluring or charming. It describes something or someone that is attractive or captivating to the heart.,Uski dilkash muskurahat sabko apni taraf kheench leti hai aur uske saath waqt bitane ka mann karta hai.
دلکش,Dilkush,दिलकुश,Pleasing,प्रिय,Adjective,Persian,Heartening or delightful. It denotes something that brings joy or happiness to the heart.,Tumhari dilkush baatein hamesha mujhe khush karti hain aur main tumhare saath waqt bitana bohot pasand karta hoon.
